"ncue","P50","P41","econ_state_agg","P55","populist_agg","NSE_AGR"
1,1,NA,NA,2,0.11790112,3
2,1,4,-0.98437679,1,-0.33365223,4
3,1,NA,NA,2,-0.50856143,4
4,3,5,NA,1,-1.2758541,3
5,1,5,NA,1,2.0110309,3
6,2,7,0.28263065,1,2.0110309,4
7,1,5,NA,1,NA,4
8,1,7,NA,NA,NA,1
9,1,NA,2.3939438,2,-0.9918558,3
10,1,NA,-0.39307344,1,-0.025816057,4
11,1,3,-0.98437679,2,NA,3
12,1,NA,NA,1,NA,2
13,3,NA,NA,2,0.66203743,4
14,1,5,1.1269363,2,1.0043671,3
15,1,7,NA,1,-0.14252831,2
16,1,5,0.60857284,1,-1.497437,2
17,1,5,0.60857284,NA,-1.497437,2
18,1,9,-0.98437679,1,-0.40887293,4
19,1,NA,NA,1,0.43381763,4
20,1,NA,NA,2,NA,4
21,1,NA,NA,2,NA,4
22,1,5,0.80099416,1,-0.9918558,3
23,1,3,0.20969085,2,0.93719542,3
24,1,2,NA,1,-0.82718778,3
25,1,2,NA,1,NA,3
26,1,8,0.20969085,1,1.204849,3
27,3,NA,1.4766983,2,0.31824857,3
28,1,NA,-0.39307344,1,0.51758724,4
29,1,1,NA,1,NA,4
30,3,NA,-0.65843457,1,-0.83789748,4
31,1,0,NA,1,1.2571578,4
32,2,NA,1.4766983,2,0.7725274,4
33,2,5,NA,1,0.92420179,4
34,1,9,NA,NA,-0.064247981,4
35,1,4,0.20969085,1,0.91034067,4
36,2,10,1.4766983,1,1.2515228,3
37,1,5,-0.65843457,2,0.7144649,3
38,1,5,-0.98437679,2,1.2340417,3
39,1,5,0.20969085,1,0.53246152,4
40,1,1,-0.98437679,2,1.2009646,2
41,1,5,-0.98437679,2,-0.51606578,2
42,1,2,-0.98437679,2,0.41661674,3
43,1,NA,0.20969085,1,-0.59046167,4
44,3,9,0.20969085,1,-0.39358404,3
45,1,5,-0.65843457,1,-0.42130625,3
46,1,5,-0.65843457,1,0.43381763,4
47,3,0,-0.65843457,2,0.478019,4
48,1,NA,1.8026404,1,-1.135024,4
49,3,NA,NA,1,-0.011378987,4
50,1,5,NA,1,-1.168101,4
51,3,NA,NA,1,-1.2446464,2
52,1,9,-0.65843457,1,0.84678888,4
53,3,5,0.20969085,1,-1.1802272,3
54,1,0,-0.98437679,1,0.81587261,3
55,1,4,0.60857284,1,-0.81232476,2
56,1,2,-0.98437679,2,0.65482455,3
57,1,0,-0.98437679,2,-0.16851561,3
58,1,5,NA,2,-0.78011513,4
59,3,5,-0.98437679,1,-0.32510331,3
60,2,5,0.20969085,1,0.43249288,4
61,2,5,NA,1,0.098992258,4
62,1,5,-0.98437679,1,-0.25028148,4
63,2,8,NA,1,-1.2491338,4
64,1,3,-0.98437679,2,-0.84553629,2
65,3,5,-0.98437679,2,-0.59261119,4
66,1,5,-0.65843457,1,-0.61559284,2
67,3,8,-0.98437679,1,0.51873487,4
68,1,0,0.20969085,1,-1.497437,3
69,1,7,NA,1,-0.19308645,3
70,3,5,0.60857284,1,1.2571578,4
71,1,2,-0.65843457,1,0.35407814,4
72,1,8,-0.65843457,1,-0.040544607,4
73,1,1,NA,1,-1.2952045,3
74,2,NA,NA,NA,0.46560133,4
75,1,5,-0.98437679,2,-1.497437,3
76,1,5,-0.98437679,1,1.5099484,4
77,1,5,-0.98437679,2,-1.4330178,3
78,1,5,-0.39307344,1,0.65482455,2
79,1,NA,NA,1,1.4007248,4
80,1,5,NA,1,0.14924328,4
81,1,5,NA,1,0.013164896,4
82,3,NA,NA,1,0.16845924,4
83,1,5,NA,1,-0.66975963,3
84,1,8,-0.65843457,1,0.97692072,4
85,1,5,NA,2,0.23995692,4
86,1,5,0.87393397,1,-0.83789748,3
87,1,2,-0.98437679,1,-0.61444527,4
88,1,8,-0.39307344,1,-1.497437,3
89,1,NA,1.8026404,2,-0.34244996,4
90,1,4,-0.98437679,1,-1.497437,3
91,1,5,-0.98437679,2,0.38990772,4
92,1,NA,NA,1,-0.011087506,4
93,1,NA,NA,2,-0.045899469,3
94,1,7,NA,2,-0.90144926,2
95,1,NA,-0.98437679,1,-0.0038475811,3
96,1,5,NA,NA,NA,3
97,1,0,-0.98437679,2,1.5099484,4
98,1,7,-0.98437679,1,-1.0835984,3
99,1,5,-0.067131236,1,-1.497437,4
100,1,5,-0.98437679,1,0.83941895,4
101,3,10,-0.65843457,2,0.035133373,4
102,1,5,NA,1,0.10590934,4
103,1,8,NA,1,0.23836777,4
104,1,5,NA,2,0.64542383,4
105,1,5,-0.39307344,2,0.23836777,4
106,1,2,NA,1,1.1070726,3
107,1,NA,0.20969085,1,-0.9918558,3
108,1,5,0.53563309,1,0.14924328,3
109,1,8,NA,2,-0.0078934534,4
110,1,NA,-0.65843457,1,-0.9918558,4
111,1,NA,-0.067131236,1,-0.820831,3
112,1,7,0.53563309,1,0.18102698,4
113,1,5,1.4766983,2,-1.3319016,3
114,1,5,0.20969085,1,0.2070256,3
115,1,6,NA,1,-0.89595997,2
116,1,5,NA,2,NA,3
117,1,3,-0.39307344,1,-0.74428558,4
118,1,2,-0.98437679,1,-0.40772533,4
119,3,NA,-0.98437679,1,-0.28697851,4
120,1,1,NA,1,NA,3
121,1,5,-0.65843457,1,-0.099210113,4
122,1,8,1.1269363,1,-0.76899081,4
123,2,5,1.8026404,1,-0.39400995,4
124,1,10,NA,1,0.46560133,4
125,1,5,NA,2,0.38512883,4
126,2,5,1.4766983,1,0.69626212,2
127,1,0,0.80099416,2,0.54458773,3
128,2,5,1.4766983,2,NA,2
129,2,10,NA,2,0.57492805,4
130,1,5,1.4766983,2,0.99411029,4
131,1,NA,NA,1,1.156909,4
132,1,10,-0.65843457,1,-0.43907881,3
133,1,4,-0.65843457,NA,-0.9918558,3
134,1,6,NA,2,NA,3
135,1,0,-0.98437679,1,-0.69936246,1
136,3,5,-0.067131236,2,0.63026935,3
137,1,2,-0.98437679,2,-0.30719635,4
138,2,5,NA,2,-1.2446464,4
139,2,5,1.4766983,1,-1.497437,3
140,1,7,-0.65843457,1,-0.75874972,4
141,2,5,-0.98437679,1,1.017948,3
142,1,0,-0.98437679,2,0.66926163,3
143,1,5,NA,1,NA,4
144,3,NA,-0.98437679,1,2.3650723,4
145,1,NA,-0.067131236,1,1.859491,3
146,NA,10,NA,1,NA,4
147,2,NA,0.20969085,1,2.3650723,4
148,3,NA,1.1269363,1,NA,4
149,1,NA,0.20969085,1,0.16803333,2
150,3,3,-0.98437679,1,-1.497437,4
151,3,3,0.53563309,1,0.87162858,3
152,1,4,2.3939438,2,-1.1847146,2
153,1,10,-0.65843457,1,-1.0835984,2
154,1,4,-0.65843457,2,-0.9918558,3
155,1,0,-0.65843457,2,-0.9918558,1
156,3,5,NA,1,-0.34476084,2
157,1,5,-0.98437679,1,0.58100462,4
158,1,5,2.0680015,1,0.25917289,3
159,1,5,-0.65843457,1,-0.1967064,4
160,1,5,-0.65843457,2,0.79174334,3
161,1,5,1.4766983,1,-0.18948221,3
162,1,6,0.20969085,2,0.3355839,4
163,1,NA,NA,1,NA,4
164,1,5,NA,2,-0.38937682,3
165,1,5,-0.98437679,1,NA,3
166,1,5,-0.98437679,2,-0.83789748,1
167,1,5,NA,1,-0.820831,1
168,1,5,0.60857284,1,-0.24333745,3
169,1,NA,-0.65843457,1,NA,4
170,1,6,NA,1,-0.22804856,4
171,2,NA,-0.067131236,1,-0.22704668,3
172,1,NA,NA,2,1.3222988,4
173,1,NA,NA,1,NA,3
